ORDERNO,ORDER_LINENO,PRODUCT_CODE,CUSTOMER_NAME,ORDER_DATE,STATUS,QUANTITY_ORDER,PRICE_EACH,SALES,PHONE,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,COUNTRY,CONTACT_LAST_NAME,CONTACT_FIRST_NAME,PRODUCT_LINE,MSRP,DEAL_SIZE,YEAR_ID,MONTH_ID,QTR_ID,Order_Date
10107,2,S10_1678,Land of Toys Inc.,24-02-2003,Shipped,30,? 95.70,2871,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,Yu,Kwai,Motorcycles,? 95.00,Large,2003,2,1,24-02-2003
10107,2,S10_1678,Land of Toys Inc.,24-02-2003,Shipped,30,? 95.71,2871,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,Yu,Kwai,Motorcycles,? 95.00,Small,2003,2,1,24-02-2003
10107,2,S10_1678,Land of Toys Inc.,24-02-2003,Shipped,30,? 95.72,2871,2125557818,897 Long Airport Avenue,N/A,NYC,NY,10022,USA,Yu,Kwai,Motorcycles,? 95.00,Medium,2003,2,1,24-02-2003
10121,5,S10_1678,Reims Collectables,07-05-2003,Shipped,34,? 95.73,2765.9,26.47.1555,59 rue de l'Abbaye,N/A,Reims,N/A,51100,France,Henriot,Paul,Motorcycles,? 95.00,Large,2003,5,2,07-05-2003
10121,5,S10_1678,Reims Collectables,07-05-2003,Shipped,34,? 95.74,2765.9,26.47.1555,59 rue de l'Abbaye,N/A,Reims,N/A,51100,France,Henriot,Paul,Motorcycles,? 95.00,Small,2003,5,2,07-05-2003
10121,5,S10_1678,Reims Collectables,07-05-2003,Shipped,34,? 95.75,2765.9,26.47.1555,59 rue de l'Abbaye,N/A,Reims,N/A,51100,France,Henriot,Paul,Motorcycles,? 95.00,Medium,2003,5,2,07-05-2003
10134,2,S10_1678,Lyon Souveniers,01-07-2003,Shipped,41,? 95.76,3884.34,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,N/A,Paris,N/A,75508,France,Da Cunha,Daniel,Motorcycles,? 95.00,Large,2003,7,3,01-07-2003
10134,2,S10_1678,Lyon Souveniers,01-07-2003,Shipped,41,? 95.77,3884.34,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,N/A,Paris,N/A,75508,France,Da Cunha,Daniel,Motorcycles,? 95.00,Small,2003,7,3,01-07-2003
10134,2,S10_1678,Lyon Souveniers,01-07-2003,Shipped,41,? 95.78,3884.34,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,N/A,Paris,N/A,75508,France,Da Cunha,Daniel,Motorcycles,? 95.00,Medium,2003,7,3,01-07-2003
10145,6,S10_1678,Toys4GrownUps.com,25-08-2003,Shipped,45,? 95.79,3746.7,6265557265,78934 Hillside Dr.,N/A,Pasadena,CA,90003,USA,Young,Julie,Motorcycles,? 95.00,Large,2003,8,3,25-08-2003
